 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,fields:fld0002,2.200E1,8.977E1,3.717E1,1.060E2,2.000E1,1.350E2,1.253E3,4.223E2,1.253E3,4.222E2,1.673E1,5.674E0,4.937E0,1.753E2,9.880E-1,6.403E0,1.975E3,1.060E2,1.975E3,2.000E0,1.251E3,4.200E2,1.413E2,5.000E0,1.149E0,8.701E-1,8.627E-1
2,fields:fld0004,2.400E1,6.575E1,4.205E1,1.200E1,1.200E1,1.320E2,1.635E3,1.824E2,1.635E3,1.827E2,1.673E1,6.111E0,5.001E0,1.960E1,1.000E0,6.708E0,1.578E3,5.000E1,1.578E3,4.000E0,1.632E3,1.840E2,2.657E1,5.000E0,1.222E0,8.184E-1,9.057E-1
3,fields:fld0005,2.600E1,6.731E1,4.607E1,2.200E1,1.800E1,1.380E2,1.989E3,3.776E2,1.989E3,3.778E2,1.873E1,6.353E0,5.211E0,2.003E1,9.315E-1,7.280E0,1.750E3,4.700E1,1.750E3,5.000E0,1.985E3,3.790E2,1.595E1,5.000E0,1.219E0,8.202E-1,8.667E-1
4,fields:fld0005,2.700E1,7.511E1,4.340E1,1.300E1,1.300E1,1.430E2,1.541E3,5.426E2,1.541E3,5.427E2,1.873E1,6.515E0,5.277E0,1.765E2,9.674E-1,7.280E0,2.028E3,8.300E1,2.028E3,5.000E0,1.538E3,5.440E2,1.595E1,5.000E0,1.235E0,8.100E-1,8.852E-1
5,fields:fld0006,2.600E1,7.965E1,4.564E1,1.340E2,1.400E1,1.440E2,7.708E2,6.467E2,7.708E2,6.467E2,1.814E1,5.999E0,5.518E0,9.713E1,9.927E-1,6.708E0,2.071E3,8.800E1,2.071E3,6.000E0,7.690E2,6.440E2,1.166E2,6.000E0,1.087E0,9.199E-1,8.667E-1
6,fields:fld0006,2.200E1,7.786E1,4.317E1,1.300E1,1.300E1,1.430E2,1.752E3,8.620E2,1.751E3,8.619E2,1.731E1,6.440E0,4.349E0,0.000E0,9.223E-1,7.071E0,1.713E3,7.800E1,1.713E3,6.000E0,1.748E3,8.610E2,1.719E2,4.000E0,1.481E0,6.753E-1,8.800E-1
7,fields:fld0006,3.400E1,8.024E1,4.336E1,3.400E1,1.800E1,1.450E2,5.830E2,1.201E3,5.831E2,1.201E3,2.014E1,6.986E0,6.197E0,9.000E1,1.000E0,7.616E0,2.728E3,8.100E1,2.728E3,6.000E0,5.810E2,1.198E3,1.132E2,6.000E0,1.127E0,8.871E-1,9.189E-1
8,fields:fld0010,1.800E1,5.617E1,4.089E1,2.200E1,1.300E1,1.220E2,6.139E1,4.278E1,6.149E1,4.306E1,1.473E1,5.088E0,4.504E0,1.546E2,1.000E0,5.831E0,1.011E3,4.700E1,1.011E3,1.000E1,5.900E1,4.100E1,1.490E2,4.950E0,1.130E0,8.853E-1,8.571E-1
9,fields:fld0010,3.000E1,8.690E1,3.877E1,6.400E1,1.200E1,1.370E2,1.240E3,8.355E2,1.240E3,8.354E2,2.038E1,6.468E0,5.906E0,3.041E1,9.072E-1,7.616E0,2.607E3,1.010E2,2.607E3,1.000E1,1.236E3,8.370E2,2.320E1,6.642E0,1.095E0,9.132E-1,8.000E-1
10,fields:fld0010,2.300E1,6.187E1,4.207E1,1.900E1,1.300E1,1.310E2,1.890E3,1.402E3,1.890E3,1.402E3,1.673E1,6.029E0,4.857E0,1.506E2,1.000E0,6.708E0,1.423E3,5.500E1,1.423E3,1.000E1,1.887E3,1.401E3,1.534E2,5.000E0,1.241E0,8.057E-1,8.846E-1
11,fields:fld0011,2.400E1,7.258E1,3.746E1,2.700E1,1.500E1,1.370E2,7.178E2,1.141E3,7.179E2,1.141E3,1.756E1,5.647E0,5.411E0,1.658E2,9.785E-1,6.708E0,1.742E3,8.500E1,1.742E3,1.100E1,7.150E2,1.139E3,1.534E2,5.657E0,1.044E0,9.583E-1,8.276E-1
12,fields:fld0012,2.500E1,6.560E1,4.604E1,2.100E1,1.200E1,1.450E2,2.032E3,2.563E2,2.032E3,2.564E2,2.014E1,6.464E0,4.925E0,1.650E1,7.744E-1,7.280E0,1.640E3,4.500E1,1.640E3,1.200E1,2.029E3,2.550E2,1.641E2,5.000E0,1.313E0,7.619E-1,8.333E-1
13,fields:fld0012,2.500E1,6.876E1,4.130E1,2.900E1,1.200E1,1.360E2,5.456E2,3.479E2,5.458E2,3.479E2,1.814E1,5.817E0,5.472E0,1.017E2,9.545E-1,6.708E0,1.719E3,7.600E1,1.719E3,1.200E1,5.440E2,3.450E2,1.166E2,6.000E0,1.063E0,9.408E-1,8.333E-1
14,fields:fld0012,2.500E1,8.476E1,4.162E1,1.600E1,1.600E1,1.460E2,1.418E3,6.366E2,1.418E3,6.365E2,1.790E1,5.979E0,5.324E0,1.564E2,9.805E-1,7.071E0,2.119E3,9.700E1,2.119E3,1.200E1,1.416E3,6.340E2,1.350E2,5.000E0,1.123E0,8.906E-1,9.091E-1
15,fields:fld0014,2.900E1,7.472E1,4.485E1,1.200E1,1.200E1,1.420E2,1.992E3,1.140E3,1.992E3,1.140E3,1.956E1,6.592E0,5.602E0,1.651E2,9.529E-1,7.616E0,2.167E3,8.500E1,2.167E3,1.400E1,1.989E3,1.142E3,2.320E1,6.000E0,1.177E0,8.498E-1,8.406E-1
