 File,c:\shareddata\ronald\2017-02-28\pa\stub01\stub01.csv
 Stub,SG170216_06
 Date, 2,28,2017
 Time,16, 9
 Acc.,Voltage,10.0
 Magn:,   600
Thresholds:
 Phase,Low,Upp
   1,  23, 255
 TakeOff,37.4
 Preset,Time:,   3.0
 Elem, 5
 Data,Type:,ZAF Elem.,Wt%
 Particle, Scan,10
 Part#,Field#,Phase#,X_stage,Y_stage,X_cent,Y_cent,X_left,Y_low,X_width,Y_height,Xferet,Yferet,AvgDiam,LProj,Area,Perim,Shape,Aspe,Orient,CK,OK,AlK,SiK,UM,  CPS ,AvgVideo,StgX ,StgY ,MinCnts
    1, 2, 1, -3613,  2336,1252,1177,1220,1153,  32,  25,    1.39,    1.16,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 11,   9.82,  16.49,   0.00,   0.00,  73.69,  1436,111,  -3.560,   2.386,4348
    2, 4, 1, -2666,  2336,1634,1417,1602,1393,  32,  25,    1.39,    1.16,    1.20,    1.55,   1.1246,    3.93,    1.10,    1.68, 21,   9.90,  21.75,   0.00,   1.60,  66.76,  1585,127,  -2.525,   2.442,4528
    3, 5, 1, -2193,  2336,1988,1222,1956,1198,  32,  25,    1.16,    1.16,    1.14,    1.48,   1.0175,    3.47,    0.94,    1.69, 53,   8.48,  20.21,   0.00,   0.00,  71.31,  1619,118,  -1.970,   2.397,4718
    4, 5, 1, -2193,  2336,1541,1057,1509,1033,  32,  25,    1.16,    1.16,    1.22,    1.48,   1.1781,    3.47,    0.81,    1.46, 53,   8.48,  19.88,   0.00,   0.00,  71.64,  1670,136,  -2.073,   2.358,4779
    5, 6, 1, -1720,  2336, 770, 952, 738, 928,  32,  25,    1.39,    1.39,    1.28,    1.46,   1.2852,    4.17,    1.07,    1.31, 90,  11.50,  12.27,   1.41,   1.26,  73.57,  1458, 95,  -1.779,   2.334,4139
    6, 6, 1, -1720,  2336,1751, 737,1719, 713,  32,  25,    1.16,    0.93,    1.11,    1.35,   0.9639,    3.24,    0.87,    1.48, 26,   9.82,  15.80,   1.09,   0.00,  73.29,  1562,105,  -1.552,   2.284,4641
    7, 6, 1, -1720,  2336, 582, 398, 550, 374,  32,  25,    1.39,    1.62,    1.50,    1.76,   1.7672,    4.63,    0.96,    1.38, 90,   9.32,  17.24,   0.00,   0.00,  73.44,  1558,139,  -1.822,   2.206,4431
    8,10, 1,   170,  2336,  61,1556,  29,1532,  32,  25,    1.16,    0.93,    0.90,    1.18,   0.6426,    3.24,    1.30,    1.70,  0,  11.74,  18.22,   0.00,   0.00,  70.05,  1466, 14,  -0.053,   2.474,4290
    9,10, 1,   170,  2336,1239, 763,1207, 739,  32,  25,    1.39,    1.39,    1.38,    1.67,   1.4995,    4.17,    0.92,    1.46, 30,  11.78,  17.12,   1.27,   0.00,  69.83,  1405,105,   0.220,   2.290,4163
   10,10, 1,   170,  2336,1889, 197,1857, 173,  32,  25,    1.39,    1.16,    1.11,    1.41,   0.9639,    3.93,    1.28,    1.61,-21,   8.60,  16.10,   0.00,   0.00,  75.30,  1577,119,   0.370,   2.159,4425
   11,11, 1,   643,  2336, 717, 458, 685, 434,  32,  25,    1.39,    1.39,    1.22,    1.46,   1.1781,    4.17,    1.17,    1.43, 90,   9.32,  17.69,   0.00,   0.00,  73.00,  1496,119,   0.572,   2.220,4407
   12,12, 1,  1117,  2336,2031,1343,1999,1319,  32,  25,    1.39,    1.16,    1.17,    1.67,   1.0710,    3.93,    1.15,    2.04, 30,   9.57,  17.62,   0.00,   0.00,  72.81,  1501,104,   1.350,   2.425,4559
   13,12, 1,  1117,  2336, 545,1251, 513,1227,  32,  25,    1.16,    1.39,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 36,  10.25,  14.22,   0.00,   0.00,  75.53,  1362, 97,   1.006,   2.403,4117
   14,12, 1,  1117,  2336,1418, 963,1386, 939,  32,  25,    1.16,    1.16,    1.22,    1.35,   1.1781,    3.47,    0.81,    1.21, 90,   9.14,  15.95,   1.09,   1.15,  72.67,  1640,128,   1.208,   2.337,4657
   15,14, 1,  2062,  2336,1992, 460,1960, 436,  32,  25,    1.62,    1.16,    1.31,    1.68,   1.3388,    4.17,    1.03,    1.67,  9,   9.26,  18.72,   0.00,   1.40,  70.62,  1738,144,   2.286,   2.220,4885
   16,14, 1,  2062,  2336, 728, 121, 697,  97,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,   9.62,  20.27,   0.00,   0.00,  70.10,  1474,125,   1.994,   2.142,4362
   17,15, 1,  2536,  2336,1987,  80,1955,  56,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,  10.39,  18.77,   1.36,   0.00,  69.48,  1616, 93,   2.759,   2.132,4525
   18,16, 1,  3009,  2336,1358,1391,1326,1367,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   9.64,  17.08,   0.00,   0.00,  73.28,  1492,135,   3.086,   2.436,4312
   19,17, 1,  3481,  2336,1749,1345,1717,1321,  32,  25,    1.16,    1.39,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 36,  12.62,  15.70,   0.00,   0.00,  71.68,  1465, 92,   3.649,   2.425,4175
   20,17, 1,  3481,  2336,1933,1323,1900,1299,  32,  25,    1.39,    1.39,    1.36,    1.55,   1.4459,    4.86,    1.30,    1.31, 21,  14.85,  13.25,   0.00,   0.00,  71.90,  1461, 70,   3.691,   2.420,4141
